bodyId_post,class,celltypePredictedNt,predictedNtProb,hemilineage,modality,size,type_post,downstream,upstream,description
14672,ascending neuron,gaba,0.9259514808654785,05B,-,1162998185,AN05B036,4351,3441,5B in T2 RHS; 1st pass ECM
14703,intrinsic neuron,acetylcholine,0.9558045864105225,01A,tactile_unknown,1099547437,IN01A048,6802,4328,aV
14961,ascending neuron,acetylcholine,0.9152259826660156,09B,chemosensory_unknown,2194236769,AN09B018,6685,8039,arbours almost completely contralateral to soma
15019,ascending neuron,acetylcholine,0.9219996929168701,09B,chemosensory_unknown,1373781702,AN09B018,2751,3614,-
15267,intrinsic neuron,acetylcholine,0.8654783368110657,01A,tactile_unknown,738065691,IN01A048,5357,3689,aV mostly contra
15363,ascending neuron,acetylcholine,0.9419374465942383,09B,chemosensory_unknown,1355027248,AN09B018,2801,3496,-
15450,ascending neuron,acetylcholine,0.7366201877593994,09B,unknown,991090219,AN09B037,479,2011,-
15645,intrinsic neuron,acetylcholine,0.9223254323005676,01A,chemosensory_unknown,969758911,IN01A045,6229,2453,ant aV
15663,intrinsic neuron,gaba,0.898856520652771,TBD,-,688933022,INXXX287,2786,2833,-
15760,intrinsic neuron,gaba,0.7734110355377197,00A,chemosensory_unknown,617566132,IN00A033,3143,1404,could be midline
15915,sensory neuron,acetylcholine,0.5494201183319092,-,chemosensory,307115538,SNch01,2947,260,-
16071,intrinsic neuron,acetylcholine,0.9306089282035828,01A,chemosensory_unknown,630840975,IN01A061,2907,3765,"aV, mainly contra"
16089,intrinsic neuron,acetylcholine,0.8656972050666809,01A,chemosensory_unknown,894829510,IN01A045,5194,1614,"aV, ipsi dendrites, contra axon"
16163,intrinsic neuron,gaba,0.7797746062278748,00A,-,892181717,IN00A027,4346,2975,-
16435,intrinsic neuron,gaba,0.8889951705932617,TBD,chemosensory_unknown,683356425,INXXX369,5935,2152,-
16516,intrinsic neuron,acetylcholine,0.9387472867965698,01A,chemosensory_unknown,845930472,IN01A045,4996,2466,"aV, ipsi ventral dendrites, contra axons"
16621,intrinsic neuron,gaba,0.5594451427459717,00A,chemosensory_unknown,913459445,IN00A033,3943,2207,aV
16787,intrinsic neuron,gaba,0.8410652875900269,TBD,unknown,1025497228,INXXX243,5940,3617,-
16825,intrinsic neuron,gaba,0.4790058434009552,00A,-,1054597913,IN00A017,4626,2279,may be midline rather than RHS
16994,intrinsic neuron,acetylcholine,0.9572913646697998,TBD,-,811974652,INXXX297,5432,1855,-
17090,intrinsic neuron,gaba,0.8509385585784912,TBD,unknown,887479189,INXXX253,4022,4553,-
17241,intrinsic neuron,acetylcholine,0.9228537082672119,01A,-,821156244,IN01A046,4205,2379,aV contra
17367,intrinsic neuron,acetylcholine,0.9463352560997009,TBD,-,758819623,INXXX297,5040,1723,-
17460,intrinsic neuron,gaba,0.8187111616134644,TBD,unknown,914370652,INXXX253,3971,4850,-
17477,intrinsic neuron,gaba,0.639743447303772,00A,chemosensory_unknown,645619627,IN00A024,3292,1381,-
17803,intrinsic neuron,acetylcholine,0.9256872534751892,TBD,-,891663131,INXXX231,4919,2511,-
17904,intrinsic neuron,acetylcholine,0.9519915580749512,01A,chemosensory_unknown,710867245,IN01A045,4353,2275,"aV, ipsi ventral dendrites, contra axon"
18024,intrinsic neuron,acetylcholine,0.9195542335510254,01A,chemosensory_unknown,491852768,IN01A059,1819,2780,-
18033,ascending neuron,acetylcholine,0.9079793095588684,TBD,-,931338146,ANXXX254,2227,1673,-
18203,intrinsic neuron,gaba,0.8214468955993652,TBD,-,692682439,INXXX287,3420,2572,-
18531,intrinsic neuron,acetylcholine,0.7846391201019287,TBD,-,969871200,INXXX244,3903,2091,-
18847,intrinsic neuron,gaba,0.8929450511932373,TBD,unknown,934749403,INXXX256,3749,2148,-
18975,intrinsic neuron,acetylcholine,0.9321007132530212,01A,unknown,472287018,IN01A065,1765,2845,-
19132,intrinsic neuron,acetylcholine,0.9470787048339844,19B,chemosensory_unknown,614891389,IN19B068,3573,1546,pI? fig 8; 19B?
19168,intrinsic neuron,acetylcholine,0.9445845484733582,TBD,tactile_unknown,618664360,INXXX331,3423,1227,-
19241,intrinsic neuron,acetylcholine,0.9262809157371521,01A,chemosensory_unknown,609021008,IN01A045,4455,2036,"was: A3; aV, ipsi ventral dendrites, contra axon"
19385,ascending neuron,acetylcholine,0.8533355593681335,09B,chemosensory_unknown,606508088,AN09B042,933,745,soma really looks midline but arbours asymmetric; maybe serial 14487
19427,intrinsic neuron,acetylcholine,0.9367920160293579,01A,chemosensory_unknown,594370034,IN01A061,2267,3334,-
19491,intrinsic neuron,gaba,0.6955551505088806,00A,chemosensory_unknown,613036145,IN00A024,2934,1309,-
19895,intrinsic neuron,gaba,0.8741707801818848,TBD,-,561123860,INXXX375,1420,1312,-
20224,intrinsic neuron,acetylcholine,0.8720021843910217,01A,unknown,689889376,IN01A051,4840,5160,"aV, contra only"
20300,intrinsic neuron,gaba,0.8599323034286499,TBD,unknown,967660168,INXXX316,5898,6832,-
20574,intrinsic neuron,gaba,0.7167448401451111,00A,chemosensory_unknown,717543091,IN00A024,3447,1052,was: 14A
20599,intrinsic neuron,gaba,0.6395655870437622,TBD,-,520735282,INXXX382,2267,1897,was: A6
20604,intrinsic neuron,gaba,0.8141577839851379,00A,-,937252714,IN00A027,4418,3474,-
20693,intrinsic neuron,acetylcholine,0.8631024956703186,TBD,chemosensory_unknown,576633271,INXXX370,3612,1343,-
20846,intrinsic neuron,acetylcholine,0.9367903470993042,01A,chemosensory_unknown,512185881,IN01A061,2017,3284,"aV, contra only, was: A5"
21209,sensory neuron,acetylcholine,0.7273494005203247,-,chemosensory,488292754,SNch01,3315,588,-
21219,sensory neuron,acetylcholine,0.7335415482521057,-,chemosensory,487999720,SNch01,3179,573,-
21438,intrinsic neuron,gaba,0.9004157185554504,05B,mixed,767401264,IN05B028,2465,3162,was: A4
21669,ascending neuron,acetylcholine,0.8850222826004028,09B,unknown,962910520,AN09B037,481,1892,was A5
21672,intrinsic neuron,acetylcholine,0.8982641696929932,01A,tactile_unknown,609694885,IN01A048,4364,3242,aV mainly contra
21750,descending neuron,gaba,0.6132360696792603,NA,tactile_unknown,1519223575,DNxn180,11343,1101,-
21845,intrinsic neuron,acetylcholine,0.9506459832191467,TBD,tactile_unknown,637651758,INXXX331,3418,1207,-
21976,sensory neuron,acetylcholine,0.7458394169807434,-,chemosensory,450509541,SNch01,3240,346,-
22123,sensory neuron,acetylcholine,0.6600474715232849,-,chemosensory,444937729,SNch01,3527,425,-
22594,ascending neuron,acetylcholine,0.9291706681251526,09B,chemosensory_unknown,2166200852,AN09B018,6178,8365,-
22613,sensory neuron,acetylcholine,0.5445711612701416,-,chemosensory,423527156,SNch01,3813,489,-
22719,sensory neuron,acetylcholine,0.7120047807693481,-,chemosensory,414988612,SNch01,3167,423,-
22794,intrinsic neuron,acetylcholine,0.5537384152412415,01A,chemosensory_unknown,429615791,IN01A061,1928,3158,aV mostly contra
22801,intrinsic neuron,acetylcholine,0.8920558094978333,TBD,-,415102612,INXXX414,2558,951,-
22995,sensory neuron,acetylcholine,0.7794892191886902,-,chemosensory,406141647,SNch01,2681,319,-
23058,intrinsic neuron,glutamate,0.7349751591682434,02A,chemosensory_unknown,409540385,IN02A044,1590,938,-
23216,intrinsic neuron,gaba,0.7511128783226013,TBD,-,512104587,INXXX382,2428,2100,Was A7 but partner seemed like A6
23329,intrinsic neuron,gaba,0.7749475836753845,00A,chemosensory_unknown,545407125,IN00A033,2607,1242,could be midline
23345,intrinsic neuron,acetylcholine,0.9036447405815125,01A,chemosensory_unknown,551341825,IN01A059,1940,2816,"aV, contra only"
23392,sensory neuron,acetylcholine,0.6212602853775024,-,chemosensory,390260957,SNch01,2982,316,-
23654,intrinsic neuron,gaba,0.5832847356796265,TBD,-,520310489,INXXX382,2341,2045,partner confirmed
23684,sensory neuron,acetylcholine,0.5879998207092285,-,chemosensory,378868330,SNch01,3403,326,-
23757,intrinsic neuron,acetylcholine,0.7659229040145874,TBD,chemosensory_unknown,561449660,INXXX370,3192,1467,-
24289,intrinsic neuron,glutamate,0.8381850123405457,02A,chemosensory_unknown,349428616,IN02A044,1283,565,aV
24449,intrinsic neuron,acetylcholine,0.772436797618866,TBD,chemosensory_unknown,566910327,INXXX370,3244,1719,-
24748,intrinsic neuron,acetylcholine,0.9340736865997314,01A,unknown,556010305,IN01A065,2644,2939,-
24874,intrinsic neuron,gaba,0.8302377462387085,TBD,chemosensory_unknown,522661272,INXXX369,3694,1368,-
25001,intrinsic neuron,glutamate,0.7125620245933533,02A,chemosensory_unknown,371350979,IN02A044,1408,860,aV
25586,sensory neuron,acetylcholine,0.4948149621486664,-,chemosensory,306111793,SNch01,3068,282,-
25658,sensory neuron,acetylcholine,0.6759321093559265,-,chemosensory,302881534,SNch01,4161,194,-
28513,intrinsic neuron,gaba,0.8321582078933716,00A,chemosensory_unknown,704040014,IN00A033,3983,1272,-
30204,intrinsic neuron,gaba,0.9471474289894104,TBD,unknown,299984919,INXXX440,917,640,-
33785,intrinsic neuron,gaba,0.833977460861206,TBD,tactile_unknown,204952603,INXXX429,797,826,was: A4; aV
39142,intrinsic neuron,gaba,0.7827115654945374,TBD,tactile_unknown,264380354,INXXX429,1171,1187,-
41078,intrinsic neuron,gaba,0.8973782062530518,TBD,unknown,226177050,INXXX455,1048,998,-
101527,sensory neuron,acetylcholine,0.7024539113044739,-,chemosensory,503959715,SNch01,3761,760,-
102359,intrinsic neuron,acetylcholine,0.929660439491272,01A,chemosensory_unknown,761868735,IN01A045,4150,2079,"aV, ipsi ventral dendrites, contra axon"
152738,sensory neuron,acetylcholine,0.7622908353805542,-,chemosensory,400959465,SNch01,2602,331,-
153820,intrinsic neuron,acetylcholine,0.8809334635734558,23B,mixed,569015232,IN23B060,2327,2880,-
153874,intrinsic neuron,acetylcholine,0.8210230469703674,TBD,-,971220564,INXXX244,3878,2236,-
164113,intrinsic neuron,gaba,0.8653601408004761,TBD,tactile_unknown,206260324,INXXX429,645,682,was: A4; aV heads ventrally along midline
164572,intrinsic neuron,acetylcholine,0.8539341688156128,TBD,chemosensory_unknown,582122203,INXXX370,3616,1394,-
10327,ascending neuron,gaba,0.8990495204925537,05B,chemosensory_unknown,4888925789,AN05B004,11594,12780,-
10878,ascending neuron,acetylcholine,0.9370914101600647,TBD,mixed,2483657766,ANXXX055,10012,8567,-
11087,intrinsic neuron,acetylcholine,0.9430294632911682,01A,chemosensory_unknown,589595141,IN01A061,2298,2969,-
11453,efferent neuron,gaba,0.4014788866043091,00B,-,2404405437,EN00B016,22,2881,dorsal
11469,efferent neuron,acetylcholine,0.34182679653167725,00B,-,2399933852,EN00B010,7,2631,-
11478,ascending neuron,gaba,0.8758688569068909,01B,tactile_unknown,3062721656,AN01B002,13067,12549,-
11554,efferent neuron,acetylcholine,0.6378896236419678,00B,-,2465662179,EN00B013,5,2439,-
11648,intrinsic neuron,acetylcholine,0.9563730955123901,TBD,-,2279961645,INXXX084,8741,5226,-
11670,ascending neuron,gaba,0.9020493030548096,05B,chemosensory_unknown,4470552769,AN05B004,11168,12236,-
11758,ascending neuron,acetylcholine,0.8968434929847717,09B,chemosensory_unknown,2222224884,AN09B018,4768,6716,-
11765,efferent neuron,gaba,0.43569573760032654,00B,-,2182603886,EN00B014,19,2414,-
11810,ascending neuron,acetylcholine,0.9030006527900696,TBD,mixed,2555347806,ANXXX055,10081,8699,-
11828,intrinsic neuron,acetylcholine,0.7904059290885925,TBD,-,1704747933,INXXX149,10054,6436,-
11839,descending neuron,gaba,0.7862588167190552,NA,tactile_unknown,2237792761,DNxn180,14889,1574,-
11870,intrinsic neuron,acetylcholine,0.9583633542060852,TBD,-,2138325169,INXXX084,8383,4924,-
11873,intrinsic neuron,acetylcholine,0.9635022878646851,TBD,-,2196175505,INXXX084,8508,4949,-
11878,ascending neuron,acetylcholine,0.8680905699729919,09B,chemosensory_unknown,2153030171,AN09B018,4635,6436,-
11959,descending neuron,gaba,0.9039970636367798,NA,chemosensory_unknown,4375046907,DNg98,38669,1916,-
12539,ascending neuron,acetylcholine,0.9410874843597412,TBD,-,1784943546,ANXXX099,5565,3806,-
12574,descending neuron,gaba,0.564406156539917,-,-,1734194522,DNg66,9778,1270,-
12691,intrinsic neuron,acetylcholine,0.9560533165931702,TBD,-,2368720912,INXXX084,8937,4906,-
13190,intrinsic neuron,acetylcholine,0.8296947479248047,TBD,-,1760161382,INXXX149,10910,6251,-
13222,intrinsic neuron,acetylcholine,0.8358033895492554,TBD,-,1506674204,INXXX137,9349,5184,-
13316,intrinsic neuron,acetylcholine,0.8337713479995728,TBD,-,1542658597,INXXX137,9288,5637,cluster 13620
13516,intrinsic neuron,gaba,0.7420854568481445,00A,chemosensory_unknown,1684722581,IN00A024,8052,2759,-
13534,efferent neuron,acetylcholine,0.40074461698532104,00B,-,1912971359,EN00B018,113,6639,dorsal
14040,intrinsic neuron,acetylcholine,0.9418187737464905,01A,chemosensory_unknown,574242363,IN01A061,2547,3272,aV mostly contra
14169,intrinsic neuron,acetylcholine,0.9393914341926575,19B,chemosensory_unknown,560321224,IN19B068,3599,1227,pI? fig 8; 19B?
14188,intrinsic neuron,acetylcholine,0.9583793878555298,01A,chemosensory_unknown,527960741,IN01A061,1975,2847,"aV, contra only, was: A5"
14312,intrinsic neuron,acetylcholine,0.9229669570922852,01A,tactile_unknown,705100975,IN01A048,4519,3389,aV mainly contra
14487,ascending neuron,acetylcholine,0.9574224352836609,TBD,chemosensory_unknown,1171534908,ANXXX196,3657,4066,-
14605,intrinsic neuron,gaba,0.8306366801261902,00A,chemosensory_unknown,1425731564,IN00A024,5099,3350,-
14746,intrinsic neuron,acetylcholine,0.9041355848312378,TBD,-,1084613260,INXXX212,4431,2538,-
14961,ascending neuron,acetylcholine,0.9152259826660156,09B,chemosensory_unknown,2194236769,AN09B018,6685,8039,arbours almost completely contralateral to soma
15019,ascending neuron,acetylcholine,0.9219996929168701,09B,chemosensory_unknown,1373781702,AN09B018,2751,3614,-
15058,intrinsic neuron,acetylcholine,0.9361292719841003,TBD,-,888090095,INXXX231,5326,2336,-
15190,intrinsic neuron,acetylcholine,0.8670442700386047,TBD,-,1032385990,INXXX239,4417,3705,-
15263,sensory neuron,acetylcholine,0.6675537824630737,-,chemosensory,461771617,SNch01,3498,571,-
15312,intrinsic neuron,acetylcholine,0.9455986618995667,TBD,unknown,1015664515,INXXX240,6136,2073,-
15363,ascending neuron,acetylcholine,0.9419374465942383,09B,chemosensory_unknown,1355027248,AN09B018,2801,3496,-
15799,intrinsic neuron,acetylcholine,0.9461296200752258,01A,chemosensory_unknown,549128598,IN01A059,1943,2926,"aV, contra only"
15860,intrinsic neuron,gaba,0.8474143147468567,TBD,unknown,930052300,INXXX243,5878,3349,-
15920,ascending neuron,acetylcholine,0.8605040311813354,09B,chemosensory_unknown,900485673,AN09B018,1464,2459,-
15930,intrinsic neuron,acetylcholine,0.9444434642791748,01A,-,920724694,IN01A044,4273,2164,-
15935,intrinsic neuron,gaba,0.713293731212616,00A,-,926915071,IN00A027,4178,2542,-
16010,intrinsic neuron,acetylcholine,0.961642324924469,01A,-,910861434,IN01A046,4420,2274,aV contra only
16084,intrinsic neuron,gaba,0.8726853728294373,TBD,-,788893095,INXXX305,6241,2024,was: group 16084
16163,intrinsic neuron,gaba,0.7797746062278748,00A,-,892181717,IN00A027,4346,2975,-
16251,intrinsic neuron,glutamate,0.9364699721336365,TBD,-,882203781,INXXX279,4284,1454,-
16270,intrinsic neuron,acetylcholine,0.97419673204422,01A,unknown,490980738,IN01A065,1798,2410,-
16324,intrinsic neuron,acetylcholine,0.9509164690971375,TBD,-,875432974,INXXX297,6375,1909,-
16442,intrinsic neuron,acetylcholine,0.8985395431518555,TBD,unknown,1931294376,INXXX100,9148,9103,-
16516,intrinsic neuron,acetylcholine,0.9387472867965698,01A,chemosensory_unknown,845930472,IN01A045,4996,2466,"aV, ipsi ventral dendrites, contra axons"
16621,intrinsic neuron,gaba,0.5594451427459717,00A,chemosensory_unknown,913459445,IN00A033,3943,2207,aV
16684,intrinsic neuron,acetylcholine,0.911861002445221,01A,chemosensory_unknown,828129342,IN01A045,5036,2190,"aV, ipsi ventral dendrites, contra axons"
16787,intrinsic neuron,gaba,0.8410652875900269,TBD,unknown,1025497228,INXXX243,5940,3617,-
16976,ascending neuron,acetylcholine,0.7936347723007202,09B,unknown,952740702,AN09B037,421,1855,9B? ECM; runs with 19A
17241,intrinsic neuron,acetylcholine,0.9228537082672119,01A,-,821156244,IN01A046,4205,2379,aV contra
17405,intrinsic neuron,gaba,0.8109568357467651,TBD,unknown,953947813,INXXX243,5984,3472,-
17460,intrinsic neuron,gaba,0.8187111616134644,TBD,unknown,914370652,INXXX253,3971,4850,-
17803,intrinsic neuron,acetylcholine,0.9256872534751892,TBD,-,891663131,INXXX231,4919,2511,-
17904,intrinsic neuron,acetylcholine,0.9519915580749512,01A,chemosensory_unknown,710867245,IN01A045,4353,2275,"aV, ipsi ventral dendrites, contra axon"
18531,intrinsic neuron,acetylcholine,0.7846391201019287,TBD,-,969871200,INXXX244,3903,2091,-
18975,intrinsic neuron,acetylcholine,0.9321007132530212,01A,unknown,472287018,IN01A065,1765,2845,-
19003,intrinsic neuron,gaba,0.9584843516349792,TBD,-,823733945,INXXX268,1880,2097,-
19241,intrinsic neuron,acetylcholine,0.9262809157371521,01A,chemosensory_unknown,609021008,IN01A045,4455,2036,"was: A3; aV, ipsi ventral dendrites, contra axon"
19264,intrinsic neuron,acetylcholine,0.932237446308136,01A,chemosensory_unknown,603217410,IN01A045,4193,2154,"was: A3; aV, ipsi ventral dendrites, contra axon"
19385,ascending neuron,acetylcholine,0.8533355593681335,09B,chemosensory_unknown,606508088,AN09B042,933,745,soma really looks midline but arbours asymmetric; maybe serial 14487
19427,intrinsic neuron,acetylcholine,0.9367920160293579,01A,chemosensory_unknown,594370034,IN01A061,2267,3334,-
19491,intrinsic neuron,gaba,0.6955551505088806,00A,chemosensory_unknown,613036145,IN00A024,2934,1309,-
19895,intrinsic neuron,gaba,0.8741707801818848,TBD,-,561123860,INXXX375,1420,1312,-
20013,ascending neuron,acetylcholine,0.8378108143806458,09B,chemosensory_unknown,551656810,AN09B042,558,581,soma really looks midline but arbours asymmetric; maybe serial 14487
20129,ascending neuron,acetylcholine,0.8794668316841125,09B,chemosensory_unknown,1060795929,AN09B018,1779,3361,-
20558,intrinsic neuron,acetylcholine,0.9102005362510681,01A,chemosensory_unknown,529772843,IN01A059,2426,3262,aV contra
20599,intrinsic neuron,gaba,0.6395655870437622,TBD,-,520735282,INXXX382,2267,1897,was: A6
20604,intrinsic neuron,gaba,0.8141577839851379,00A,-,937252714,IN00A027,4418,3474,-
20693,intrinsic neuron,acetylcholine,0.8631024956703186,TBD,chemosensory_unknown,576633271,INXXX370,3612,1343,-
20762,intrinsic neuron,gaba,0.5239341855049133,TBD,-,514581159,INXXX382,2227,1880,was: A6
20846,intrinsic neuron,acetylcholine,0.9367903470993042,01A,chemosensory_unknown,512185881,IN01A061,2017,3284,"aV, contra only, was: A5"
21438,intrinsic neuron,gaba,0.9004157185554504,05B,mixed,767401264,IN05B028,2465,3162,was: A4
21672,intrinsic neuron,acetylcholine,0.8982641696929932,01A,tactile_unknown,609694885,IN01A048,4364,3242,aV mainly contra
21750,descending neuron,gaba,0.6132360696792603,NA,tactile_unknown,1519223575,DNxn180,11343,1101,-
21976,sensory neuron,acetylcholine,0.7458394169807434,-,chemosensory,450509541,SNch01,3240,346,-
22045,sensory neuron,acetylcholine,0.7875754833221436,-,chemosensory,484698028,SNch01,3001,491,-
22123,sensory neuron,acetylcholine,0.6600474715232849,-,chemosensory,444937729,SNch01,3527,425,-
22247,sensory neuron,acetylcholine,0.7344970703125,-,chemosensory,439656464,SNch01,3188,413,-
22360,intrinsic neuron,acetylcholine,0.9594078063964844,01A,unknown,602553917,IN01A065,2875,3368,-
22594,ascending neuron,acetylcholine,0.9291706681251526,09B,chemosensory_unknown,2166200852,AN09B018,6178,8365,-
22613,sensory neuron,acetylcholine,0.5445711612701416,-,chemosensory,423527156,SNch01,3813,489,-
22719,sensory neuron,acetylcholine,0.7120047807693481,-,chemosensory,414988612,SNch01,3167,423,-
23242,sensory neuron,acetylcholine,0.8455085754394531,-,chemosensory,396692071,SNch01,4191,176,-
23392,sensory neuron,acetylcholine,0.6212602853775024,-,chemosensory,390260957,SNch01,2982,316,-
23654,intrinsic neuron,gaba,0.5832847356796265,TBD,-,520310489,INXXX382,2341,2045,partner confirmed
23684,sensory neuron,acetylcholine,0.5879998207092285,-,chemosensory,378868330,SNch01,3403,326,-
24183,intrinsic neuron,gaba,0.6253359913825989,TBD,-,480443896,INXXX382,2087,1898,-
24449,intrinsic neuron,acetylcholine,0.772436797618866,TBD,chemosensory_unknown,566910327,INXXX370,3244,1719,-
24748,intrinsic neuron,acetylcholine,0.9340736865997314,01A,unknown,556010305,IN01A065,2644,2939,-
25586,sensory neuron,acetylcholine,0.4948149621486664,-,chemosensory,306111793,SNch01,3068,282,-
25658,sensory neuron,acetylcholine,0.6759321093559265,-,chemosensory,302881534,SNch01,4161,194,-
28059,intrinsic neuron,glutamate,0.7424442172050476,02A,chemosensory_unknown,376612679,IN02A044,1462,509,aV
30204,intrinsic neuron,gaba,0.9471474289894104,TBD,unknown,299984919,INXXX440,917,640,-
30464,ascending neuron,acetylcholine,0.839637041091919,09B,unknown,876332184,AN09B037,363,1774,9B? ECM; was A5
33558,intrinsic neuron,acetylcholine,0.9438371062278748,19B,chemosensory_unknown,622223909,IN19B068,3652,1479,pI? fig 8; 19B?
100796,intrinsic neuron,gaba,0.88926762342453,TBD,chemosensory_unknown,653356183,INXXX369,5565,1977,cluster 13620
102359,intrinsic neuron,acetylcholine,0.929660439491272,01A,chemosensory_unknown,761868735,IN01A045,4150,2079,"aV, ipsi ventral dendrites, contra axon"
102798,intrinsic neuron,acetylcholine,0.9594910740852356,19B,chemosensory_unknown,616137879,IN19B068,3616,1660,pI? fig 8; 19B?
152358,intrinsic neuron,gaba,0.591327428817749,TBD,-,598179284,INXXX382,2724,2046,-
153874,intrinsic neuron,acetylcholine,0.8210230469703674,TBD,-,971220564,INXXX244,3878,2236,-
154492,intrinsic neuron,gaba,0.6302087306976318,TBD,-,537460612,INXXX382,2570,2014,was A5
155278,intrinsic neuron,acetylcholine,0.9328480362892151,01A,chemosensory_unknown,526107360,IN01A059,2067,2908,-
162621,intrinsic neuron,acetylcholine,0.9513570666313171,TBD,-,752816921,INXXX297,5446,1726,-
164552,intrinsic neuron,acetylcholine,0.8630427718162537,TBD,unknown,2204796512,INXXX100,8887,11748,-
164572,intrinsic neuron,acetylcholine,0.8539341688156128,TBD,chemosensory_unknown,582122203,INXXX370,3616,1394,-
10327,ascending neuron,gaba,0.8990495204925537,05B,chemosensory_unknown,4888925789,AN05B004,11594,12780,-
10327,ascending neuron,gaba,0.8990495204925537,05B,chemosensory_unknown,4888925789,AN05B004,11594,12780,-
10770,ascending neuron,acetylcholine,0.9201253056526184,TBD,-,3383398064,ANXXX024,12120,8781,crosses aV
10770,ascending neuron,acetylcholine,0.9201253056526184,TBD,-,3383398064,ANXXX024,12120,8781,crosses aV
10878,ascending neuron,acetylcholine,0.9370914101600647,TBD,mixed,2483657766,ANXXX055,10012,8567,-
11222,ascending neuron,acetylcholine,0.9756197333335876,17A,tactile_unknown,2642137472,AN17A018,9071,6309,9B??
11222,ascending neuron,acetylcholine,0.9756197333335876,17A,tactile_unknown,2642137472,AN17A018,9071,6309,9B??
11448,intrinsic neuron,acetylcholine,0.7213810086250305,TBD,mixed,1005716282,INXXX224,4937,2259,-
11448,intrinsic neuron,acetylcholine,0.7213810086250305,TBD,mixed,1005716282,INXXX224,4937,2259,-
11670,ascending neuron,gaba,0.9020493030548096,05B,chemosensory_unknown,4470552769,AN05B004,11168,12236,-
11670,ascending neuron,gaba,0.9020493030548096,05B,chemosensory_unknown,4470552769,AN05B004,11168,12236,-
11742,intrinsic neuron,acetylcholine,0.9233138561248779,TBD,-,2171488398,INXXX073,13740,3887,crosses aV
11742,intrinsic neuron,acetylcholine,0.9233138561248779,TBD,-,2171488398,INXXX073,13740,3887,crosses aV
11758,ascending neuron,acetylcholine,0.8968434929847717,09B,chemosensory_unknown,2222224884,AN09B018,4768,6716,-
11810,ascending neuron,acetylcholine,0.9030006527900696,TBD,mixed,2555347806,ANXXX055,10081,8699,-
11810,ascending neuron,acetylcholine,0.9030006527900696,TBD,mixed,2555347806,ANXXX055,10081,8699,-
11839,descending neuron,gaba,0.7862588167190552,NA,tactile_unknown,2237792761,DNxn180,14889,1574,-
11878,ascending neuron,acetylcholine,0.8680905699729919,09B,chemosensory_unknown,2153030171,AN09B018,4635,6436,-
11878,ascending neuron,acetylcholine,0.8680905699729919,09B,chemosensory_unknown,2153030171,AN09B018,4635,6436,-
